# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, 8.4727e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 8.3324e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, 8.2605e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, 8.2379e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.0000e-04, 9.1343e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-03, 8.2275e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e-03, 6.5687e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.0000e-03, 5.7761e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 4.7418e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 4.0907e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 3.4295e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 2.8572e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 2.3376e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 1.9004e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 1.5556e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 1.2476e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 9.8052e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 7.9862e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 6.0911e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.6651e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.5649e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 2.7277e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 2.1821e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.5832e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 1.1016e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 9.2203e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.0000e+01, 7.9509e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 7.4727e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.0000e+01, 7.2525e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 7.1154e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, 7.0373e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.9990e+01, 7.0021e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.0000e-04, 8.6347e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-03, 7.7601e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e-03, 6.1716e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.0000e-03, 5.4160e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 4.4329e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 3.8156e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 3.1899e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 2.6495e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 2.1599e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 1.7493e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.4269e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 1.1399e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 8.9200e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 7.2364e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 5.4926e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 4.1869e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.1872e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 2.4314e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 1.9416e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.4065e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 9.7791e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 8.1745e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.0000e+01, 7.0431e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 6.6076e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.0000e+01, 6.3997e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 6.2656e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, 6.1840e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.9990e+01, 6.1410e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.0000e-04, 8.2731e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.0000e-03, 7.4224e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e-03, 5.8851e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.0000e-03, 5.1565e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 4.2105e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 3.6176e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 3.0176e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 2.5001e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 2.0319e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 1.6405e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 1.3342e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 1.0623e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 8.2816e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 6.6952e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 5.0600e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 3.8408e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 2.9136e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 2.2166e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 1.7671e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.2784e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 8.8819e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 7.4152e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.0000e+01, 6.3835e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, 5.9787e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 7.0000e+01, 5.7797e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, 5.6480e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.0000e+01, 5.5640e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.9990e+01, 5.5155e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.0000e-04, 8.0115e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.0000e-03, 7.1782e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e-03, 5.6781e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.0000e-03, 4.9689e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 4.0497e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 3.4744e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 2.8928e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 2.3918e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 1.9390e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 1.5614e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 1.2666e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 1.0055e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 7.8139e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 6.2976e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 4.7413e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 3.5851e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 2.7110e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 2.0573e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.6375e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.1832e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 8.2151e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 6.8501e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.0000e+01, 5.8924e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, 5.5098e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 7.0000e+01, 5.3170e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, 5.1869e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.0000e+01, 5.1011e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.9990e+01, 5.0484e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 5.0000e-04, 7.8244e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.0000e-03, 7.0036e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.0000e-03, 5.5300e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 5.0000e-03, 4.8346e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 3.9344e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 3.3715e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 2.8030e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 2.3136e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 1.8716e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 1.5037e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 1.2172e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 9.6389e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 7.4691e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 6.0034e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 4.5044e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 3.3940e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 2.5591e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 8.3000e+00, 1.9375e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.2000e+01, 1.5400e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.9000e+01, 1.1114e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.0000e+01, 7.7123e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 4.0000e+01, 6.4234e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 5.0000e+01, 5.5211e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 6.0000e+01, 5.1548e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 7.0000e+01, 4.9662e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 8.0000e+01, 4.8369e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 9.0000e+01, 4.7495e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 9.9990e+01, 4.6934e-01
